Airline,Carrier Code,Flight Number,Tail Number,Flight ID,Event,Airport,Time,Original Time,Longitude,Latitude
American,AA,1078,N622AA,AA1078MIALGA,Depart,MIA,20:15,2017,-80.29055556,25.79305556
American,AA,1079,N442AA,AA1079DFWSAT,Arrive,SAT,13:20,1324,-98.46972222,29.53361111
American,AA,1079,N442AA,AA1079DFWSAT,Depart,DFW,12:05,1209,-97.0375,32.89638889
American,AA,1081,N477AA,AA1081BOSORD,Arrive,ORD,22:00,2201,-87.90444444,41.97944444
American,AA,1081,N477AA,AA1081BOSORD,Depart,BOS,20:10,2010,-71.005,42.36416667
American,AA,1082,N541AA,AA1082MCIORD,Arrive,ORD,16:25,1629,-87.90444444,41.97944444
American,AA,1082,N541AA,AA1082MCIORD,Depart,MCI,14:55,1459,-94.71388889,39.2975
American,AA,1082,N541AA,AA1082ORDPVD,Arrive,PVD,20:20,2023,-71.42805556,41.72388889
American,AA,1082,N541AA,AA1082ORDPVD,Depart,ORD,17:25,1726,-87.90444444,41.97944444
American,AA,1083,N3BBAA,AA1083DFWSNA,Arrive,SNA,19:05,1909,-117.8680556,33.67555556
American,AA,1083,N3BBAA,AA1083DFWSNA,Depart,DFW,17:45,1747,-97.0375,32.89638889
American,AA,1085,N410AA,AA1085FLLORD,Arrive,ORD,17:40,1741,-87.90444444,41.97944444
American,AA,1085,N410AA,AA1085FLLORD,Depart,FLL,15:20,1523,-80.1525,26.0725
American,AA,1087,N285AA,AA1087PHLDFW,Arrive,DFW,19:15,1916,-97.0375,32.89638889
American,AA,1087,N285AA,AA1087PHLDFW,Depart,PHL,16:15,1615,-75.24111111,39.87194444
American,AA,1088,N457AA,AA1088BNALGA,Arrive,LGA,9:35,936,-73.8725,40.77722222
American,AA,1088,N457AA,AA1088BNALGA,Depart,BNA,6:40,641,-86.67805556,36.12444444
American,AA,1089,N5CRAA,AA1089DCAMIA,Arrive,MIA,8:15,817,-80.29055556,25.79305556
American,AA,1089,N5CRAA,AA1089DCAMIA,Depart,DCA,5:55,557,-77.0375,38.85194444
American,AA,1091,N275AA,AA1091DFWSLC,Arrive,SLC,13:55,1355,-111.9775,40.78833333
American,AA,1091,N275AA,AA1091DFWSLC,Depart,DFW,12:00,1203,-97.0375,32.89638889
American,AA,1092,N5TGAA,AA1092DFWMCO,Arrive,MCO,18:35,1835,-81.31583333,28.42888889
American,AA,1092,N5TGAA,AA1092DFWMCO,Depart,DFW,15:00,1504,-97.0375,32.89638889
American,AA,1093,N643AA,AA1093FLLSJU,Arrive,SJU,12:25,1225,-66.00166667,18.43916667
American,AA,1093,N643AA,AA1093FLLSJU,Depart,FLL,9:00,902,-80.1525,26.0725
American,AA,1093,N643AA,AA1093SJUSTT,Arrive,STT,13:55,1359,-64.97333333,18.33722222
American,AA,1093,N643AA,AA1093SJUSTT,Depart,SJU,13:25,1329,-66.00166667,18.43916667
American,AA,1095,N451AA,AA1095BWIMIA,Arrive,MIA,18:05,1806,-80.29055556,25.79305556
American,AA,1095,N451AA,AA1095BWIMIA,Depart,BWI,15:05,1507,-76.66833333,39.17527778
American,AA,1096,N4WFAA,AA1096DFWATL,Arrive,ATL,18:50,1852,-84.42694444,33.64027778
American,AA,1096,N4WFAA,AA1096DFWATL,Depart,DFW,14:20,1422,-97.0375,32.89638889
American,AA,1098,N5WEAA,AA1098STLMCO,Arrive,MCO,10:40,1044,-81.31583333,28.42888889
American,AA,1098,N5WEAA,AA1098STLMCO,Depart,STL,7:20,720,-90.35972222,38.7475
American,AA,1099,N5EKAA,AA1099MIASJU,Arrive,SJU,18:05,1807,-66.00166667,18.43916667
American,AA,1099,N5EKAA,AA1099MIASJU,Depart,MIA,14:35,1438,-80.29055556,25.79305556
American,AA,1100,N5ESAA,AA1100SJUEWR,Arrive,EWR,12:15,1217,-74.16861111,40.69222222
American,AA,1100,N5ESAA,AA1100SJUEWR,Depart,SJU,9:15,916,-66.00166667,18.43916667
American,AA,1101,N224AA,AA1101DFWSFO,Arrive,SFO,10:20,1023,-122.3747222,37.61888889
American,AA,1101,N224AA,AA1101DFWSFO,Depart,DFW,8:35,835,-97.0375,32.89638889
American,AA,1102,N3BKAA,AA1102LAXORD,Arrive,ORD,18:25,1826,-87.90444444,41.97944444
American,AA,1102,N3BKAA,AA1102LAXORD,Depart,LAX,12:30,1232,-118.4080556,33.9425
American,AA,1103,N547AA,AA1103RDUORD,Arrive,ORD,9:20,922,-87.90444444,41.97944444
American,AA,1103,N547AA,AA1103RDUORD,Depart,RDU,8:05,808,-78.78722222,35.8775
American,AA,1104,N5DJAA,AA1104DFWMCO,Arrive,MCO,12:40,1241,-81.31583333,28.42888889
American,AA,1104,N5DJAA,AA1104DFWMCO,Depart,DFW,9:25,926,-97.0375,32.89638889
American,AA,1105,N5DMAA,AA1105ORDLAS,Arrive,LAS,23:25,2325,-115.1522222,36.08027778
American,AA,1105,N5DMAA,AA1105ORDLAS,Depart,ORD,21:35,2138,-87.90444444,41.97944444
American,AA,1107,N292AA,AA1107PHLDFW,Arrive,DFW,9:55,958,-97.0375,32.89638889
